MSZoning,Neighborhood,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,FullBath,BedroomAbvGr,KitchenQual,GarageCars,GarageArea,Fireplaces,TotalBsmtSF,SalePrice
FV,Somerst,75.0,9000,8,5,2007,2007,2610,2,4,Ex,2,550,1,1184,303477
RL,Edwards,134.0,17755,5,4,1959,1959,1466,1,3,Fa,2,528,2,1466,149900
RM,OldTown,60.0,10800,5,6,1915,1950,1652,2,4,TA,1,416,0,686,139000
RL,SawyerW,59.0,11228,7,5,1993,1993,2097,2,3,Gd,3,678,1,1080,228000
RM,Crawfor,44.0,4750,8,5,2006,2007,1625,2,2,Gd,2,538,1,1573,235000
RL,ClearCr,81.0,15593,7,4,1953,1953,2287,2,3,TA,2,667,1,1304,225000
RL,NridgHt,107.0,13891,9,5,2008,2009,2822,3,4,Ex,3,1020,1,1734,582933
RL,Gilbert,,12224,6,5,2000,2000,2054,2,3,Gd,2,390,1,992,244000
RL,Crawfor,90.0,15750,5,5,1953,1953,1336,1,2,TA,1,375,2,1165,157000
RL,Edwards,68.0,9450,4,5,1954,1954,894,1,3,TA,2,400,0,894,110000
RL,Veenker,32.0,10846,8,5,1993,1993,1719,1,1,Gd,2,473,2,1719,324000
RL,NoRidge,81.0,10944,7,5,1994,1994,2127,2,3,Gd,2,525,2,1223,271000
RL,NAmes,80.0,8800,6,6,1964,1964,1251,1,3,TA,1,461,2,1251,160000
RL,NAmes,70.0,7535,5,7,1958,1985,912,1,2,TA,1,297,0,912,120000
RM,OldTown,50.0,5925,3,6,1910,1950,968,1,2,TA,0,0,0,600,37900
RL,CollgCr,44.0,9548,7,6,2003,2003,1829,2,3,Gd,2,613,1,941,237000
RL,NWAmes,,18800,6,5,1976,1976,1574,2,3,TA,2,566,1,796,190000
C (all),IDOTRR,60.0,7879,4,5,1920,1950,720,1,2,TA,0,0,0,720,34900
RL,NridgHt,129.0,16737,9,5,2004,2005,1980,2,3,Ex,3,770,1,1980,315000
RL,NWAmes,91.0,14145,7,7,1984,1998,1621,2,3,Gd,2,440,0,1208,202500
RL,NWAmes,,16635,6,7,1977,2000,1602,2,3,Gd,2,529,1,1602,215000
RM,OldTown,40.0,5400,6,7,1926,2004,1616,2,3,Gd,1,216,0,1149,152000
RL,NAmes,47.0,16321,5,6,1957,1997,1600,1,2,TA,1,319,2,1484,207500
RL,NWAmes,,10448,6,6,1972,1972,2119,2,3,TA,2,583,1,689,158000
RM,Edwards,24.0,2522,7,5,2004,2004,1709,2,3,Gd,2,380,0,970,130000
RL,NAmes,93.0,11160,7,5,1968,1968,2110,2,3,Ex,2,522,2,2110,244000
RH,Edwards,70.0,4270,3,6,1931,2006,774,1,3,Gd,0,0,0,544,79000
RM,IDOTRR,40.0,3636,4,4,1922,1950,796,1,2,TA,0,0,0,796,55000
RL,Timber,,16669,8,6,1981,1981,1707,2,2,TA,2,511,1,1686,228000
RL,NridgHt,86.0,10562,8,5,2007,2007,2161,1,3,Ex,3,789,1,1582,325624
RL,CollgCr,70.0,8750,7,5,1996,1996,1716,2,2,Gd,2,512,1,880,191000
RL,NAmes,80.0,10197,6,5,1961,1961,1362,1,3,TA,2,504,1,1362,163000
RL,CollgCr,,9531,6,5,1998,1998,1796,2,3,TA,2,546,0,794,211000
RM,Crawfor,64.0,5587,8,5,2008,2008,1652,2,2,Gd,2,482,1,1600,392500
RM,OldTown,50.0,9000,7,9,1920,1988,1482,1,3,TA,2,324,0,650,143000
RM,BrkSide,51.0,6120,5,7,1925,1950,1015,1,3,TA,1,450,0,768,88000
RL,NAmes,79.0,9490,6,7,1941,1950,1578,1,3,Fa,1,240,2,806,133000
RL,NAmes,85.0,10200,5,7,1954,2003,1086,1,3,TA,2,490,0,1086,144900
RM,BrDale,21.0,1680,6,5,1971,1971,1218,1,3,TA,0,0,0,672,91500
RL,Sawyer,74.0,8740,5,6,1982,1982,860,1,2,TA,2,528,0,840,137000
RM,OldTown,55.0,8800,4,7,1910,2004,1140,1,3,TA,0,0,0,576,96500
RL,Crawfor,60.0,7200,7,6,1931,2000,1502,1,3,TA,1,270,1,776,149000
RL,NAmes,82.0,9020,6,7,1966,1966,1165,1,3,TA,2,490,0,1127,174900
RL,Gilbert,,7851,6,5,2002,2002,1960,2,4,Gd,2,440,2,860,216500
RL,CollgCr,75.0,11404,7,5,1998,1999,2031,2,3,Gd,2,541,1,1153,222500
RL,CollgCr,,10900,6,7,1977,1977,1392,1,3,TA,1,299,0,689,161750
RL,NridgHt,95.0,12182,7,5,2005,2005,1541,2,3,Gd,2,532,1,1541,220000
RL,NAmes,75.0,7388,5,6,1959,2002,1327,1,3,Gd,2,624,0,1063,150750
RM,BrkSide,50.0,6000,4,6,1936,1950,1324,1,3,TA,1,240,0,672,128000
RL,NWAmes,85.0,11475,6,6,1975,1975,1552,2,3,TA,2,434,1,713,179900
RL,NoRidge,,9572,8,5,1990,1990,2810,2,4,Gd,2,750,1,1453,302000
RM,OldTown,90.0,22950,10,9,1892,1993,3608,2,4,Ex,3,840,2,1107,475000
RL,Timber,115.0,16905,5,6,1959,1959,1328,1,2,TA,1,308,2,1350,170000
RL,Timber,42.0,26178,7,5,1989,1990,2519,2,4,Gd,2,628,2,1210,335000
RM,IDOTRR,85.0,8500,5,7,1919,2005,1517,2,3,Fa,0,0,0,793,115000
RL,NAmes,68.0,7922,5,7,1953,2007,1057,1,3,Gd,1,246,0,1057,109000
RL,SawyerW,79.0,12327,8,8,1983,2009,2132,1,1,Gd,2,612,1,1496,316600
RL,Timber,85.0,14536,8,5,2002,2003,1629,2,3,Gd,3,808,1,1616,270000
RL,NAmes,,12160,5,5,1959,1959,1188,1,3,TA,2,531,0,1188,142000
RL,Somerst,49.0,15256,8,5,2007,2007,1464,2,3,Gd,3,754,0,1485,282922
RM,Mitchel,32.0,4500,6,5,1998,1998,1216,2,2,TA,2,402,0,1216,164000
RL,NridgHt,98.0,11428,8,5,2006,2006,1634,2,3,Gd,3,866,1,1626,250000
RL,NAmes,60.0,8064,5,7,1949,2006,924,1,3,TA,2,576,1,672,122900
RL,Sawyer,,8246,5,8,1968,2001,1060,1,3,Gd,1,270,1,1060,154000
RL,NPkVill,24.0,2308,6,6,1976,1976,1548,2,3,Gd,2,440,1,804,155000
RL,SWISU,60.0,8400,2,5,1920,1950,438,1,1,Fa,1,246,0,290,60000
RM,OldTown,47.0,4608,4,6,1945,1950,747,1,2,TA,1,220,0,747,80000
RL,NAmes,65.0,7150,5,5,1967,1967,892,1,3,TA,1,288,0,892,100000
RL,NAmes,70.0,7728,5,6,1962,1962,1190,1,3,TA,2,540,0,1106,132500
RL,NAmes,,9500,6,5,1963,1963,1394,1,3,TA,2,514,2,1394,159000
RM,OldTown,60.0,7596,5,5,1952,1952,1960,2,4,TA,2,400,0,960,124500
RM,CollgCr,36.0,4435,6,5,2003,2003,848,1,1,Gd,2,420,0,848,131500
RL,Timber,50.0,8049,7,5,1990,1990,1339,2,2,TA,2,484,1,1309,180000
RH,SawyerW,60.0,9000,6,3,1928,1950,784,1,2,TA,2,360,0,784,76000
RL,Sawyer,,8978,5,5,1968,1968,948,1,3,TA,1,300,0,948,108000
RL,NWAmes,80.0,10000,5,6,1973,2000,1178,1,3,Gd,2,439,1,1176,157000
RL,Gilbert,,10762,7,5,1999,1999,1983,2,3,Gd,2,490,1,978,225000
RL,Mitchel,63.0,9297,5,5,1976,1976,1728,2,4,TA,2,560,0,1728,188000
RM,OldTown,30.0,5232,5,5,1925,2004,764,1,2,TA,2,504,0,680,73000
RM,MeadowV,21.0,1596,4,5,1973,1973,988,1,2,TA,1,297,0,462,91000
FV,Somerst,30.0,3000,6,5,2009,2009,1224,2,2,Gd,2,528,0,612,173733
RM,BrDale,21.0,1680,6,5,1972,1972,987,1,2,TA,1,288,1,483,94500
RL,CollgCr,70.0,8750,7,5,1994,1995,1908,2,4,Gd,2,493,1,915,210000
RL,Edwards,68.0,9571,5,6,1956,1956,1144,1,3,TA,1,596,0,1144,129000
RL,NWAmes,,10395,6,6,1978,1978,1032,2,3,TA,2,564,1,1032,148000
RL,ClearCr,97.0,10029,6,5,1988,1989,2060,2,4,TA,2,521,1,1151,211000
RL,SawyerW,66.0,13695,5,5,2004,2004,1114,1,3,Gd,2,576,0,1114,159000
RL,NWAmes,,17871,6,5,1967,1976,1724,1,3,TA,2,480,1,1680,197900
RM,BrDale,21.0,1680,6,7,1972,1972,1218,1,3,TA,1,264,0,672,118000
RH,SawyerW,60.0,8400,4,4,1950,1950,841,1,2,TA,1,294,0,721,82000
RL,StoneBr,,3696,8,5,1986,1986,1088,1,2,Gd,2,461,0,1074,170000
RL,CollgCr,,7000,5,8,1978,2005,864,1,3,TA,1,336,0,864,136500
RL,StoneBr,69.0,11302,8,5,2005,2006,1826,2,3,Gd,3,758,1,1814,319000
RM,IDOTRR,60.0,7200,5,7,1920,1996,1111,1,3,Fa,1,288,0,530,101000
RL,NAmes,72.0,8872,5,8,1965,2008,912,1,2,Gd,2,576,0,912,147000
RL,NoRidge,92.0,11764,8,7,1999,2007,2270,2,4,Gd,3,671,1,1152,290000
RL,Mitchel,37.0,6951,5,5,1984,1985,923,1,3,TA,1,264,0,876,119500
RL,NAmes,74.0,8892,5,7,1953,1996,910,1,3,Gd,2,414,0,105,116000
RL,NAmes,60.0,8544,3,4,1950,1950,1040,2,2,TA,2,400,0,0,92900
RL,OldTown,90.0,5400,4,6,1920,1950,1374,1,2,TA,1,338,0,840,105000
RL,NridgHt,107.0,14450,9,5,2006,2007,2121,2,3,Ex,3,732,1,2121,415298
RL,Gilbert,59.0,11796,7,5,2004,2005,1959,2,4,Gd,2,434,1,847,215000
RM,BrkSide,51.0,6120,5,6,1936,1950,1539,1,3,TA,2,576,0,927,141500
RL,NAmes,78.0,7800,5,6,1954,1954,1268,1,2,TA,1,244,1,1268,132000
RM,OldTown,50.0,6000,4,4,1920,1950,960,1,2,Fa,1,308,0,960,108500
RL,CollgCr,112.0,10859,5,5,1994,1995,1097,1,3,TA,2,672,0,1097,145000
RM,OldTown,60.0,10800,7,7,1914,1970,1768,1,2,TA,2,320,2,880,163000
RL,NAmes,80.0,9600,6,8,1950,2005,1668,1,3,TA,1,271,0,856,140000
RL,NAmes,120.0,13560,6,3,1968,1968,1392,1,2,TA,2,576,2,1392,110000
RM,BrkSide,50.0,6000,6,6,1939,1950,1412,1,4,TA,1,280,1,780,132500
RL,CollgCr,61.0,10226,8,5,2008,2008,1630,2,3,Ex,3,860,1,1622,295493
FV,Somerst,35.0,4274,7,5,2006,2007,1241,1,1,Gd,2,569,0,1241,199900
RL,Mitchel,54.0,7244,5,7,1970,1970,768,1,2,TA,2,624,0,768,129500
RL,Crawfor,,14778,6,7,1954,2006,1640,1,3,Gd,2,924,1,1296,224000
RL,StoneBr,60.0,8089,8,6,2007,2007,1419,2,2,Gd,2,567,1,1419,392000
RL,Edwards,60.0,10800,5,5,1987,1988,1200,3,3,TA,0,0,0,1200,179000
RL,NAmes,,7472,7,9,1972,2004,1479,1,4,Gd,2,484,0,725,184000
RL,NAmes,87.0,11029,6,8,1958,2002,1414,1,3,TA,2,601,1,1184,176500
RM,OldTown,34.0,4571,5,5,1916,1950,1344,1,4,TA,3,513,0,624,98000
RL,Gilbert,,14762,5,6,1948,1950,2320,2,2,TA,2,672,1,0,169000
RL,BrkSide,,7446,4,5,1941,1950,788,1,2,TA,0,0,2,788,100000
RL,NPkVill,24.0,2289,6,6,1978,1978,1441,2,3,TA,2,440,1,855,148500
RL,NAmes,70.0,9100,6,6,1959,1959,864,1,2,TA,1,300,0,864,127500
RL,NAmes,60.0,9000,4,6,1971,1971,864,1,3,TA,2,528,0,864,120500
RL,NAmes,85.0,11475,5,5,1958,1958,1776,2,4,TA,3,888,0,1584,110000
RL,NAmes,65.0,8450,5,6,1968,1968,1056,1,3,TA,1,304,1,1056,142000
RL,Edwards,,10020,1,1,1922,1950,904,0,1,Fa,0,0,0,683,61000
FV,Somerst,,4403,7,5,2009,2009,1478,2,2,Gd,2,484,1,1470,222000
RM,OldTown,60.0,5790,3,6,1915,1950,1605,2,3,TA,1,379,0,840,107400
RL,CollgCr,68.0,9179,7,5,1999,1999,1790,2,3,Gd,2,588,0,873,193000
RL,NWAmes,,10304,5,7,1976,1976,1868,2,4,Gd,2,484,1,780,197500
RM,BrDale,21.0,1890,6,5,1973,1973,1218,1,3,TA,1,264,0,672,113000
RL,NridgHt,114.0,14803,10,5,2007,2008,2084,2,2,Ex,3,1220,1,2078,385000
RL,NPkVill,24.0,2280,6,6,1976,1976,1456,2,3,TA,2,440,1,855,148500
RL,Edwards,75.0,9937,5,6,1965,1965,1256,1,3,TA,1,276,0,1256,147500
RL,Gilbert,,7861,6,5,2002,2003,1509,2,3,Gd,2,393,1,783,183200
RL,Crawfor,61.0,7259,6,8,1945,2002,2320,2,3,Gd,1,180,1,1028,259500
RL,Crawfor,86.0,22420,6,6,1918,1950,2624,2,4,TA,3,864,1,1370,239000
RM,IDOTRR,50.0,9000,6,6,1937,1950,1375,1,3,Gd,1,544,1,780,141000
RL,NAmes,75.0,10382,6,5,1958,1958,1095,1,2,TA,1,264,0,588,140000
RL,Edwards,67.0,8777,5,7,1900,2003,2200,2,4,TA,0,0,0,1272,145900
RL,CollgCr,88.0,12803,7,5,2002,2002,1494,2,3,Gd,2,530,1,1494,221000
RL,Edwards,70.0,11767,4,7,1910,2000,1346,1,2,TA,1,384,0,560,112000
RL,CollgCr,60.0,8070,4,5,1994,1995,990,1,3,TA,0,0,0,990,123600
RL,ClearCr,75.0,45600,6,8,1908,1997,2358,3,5,TA,2,360,1,907,240000
RL,OldTown,90.0,5400,5,7,1954,2000,833,1,2,Gd,1,326,0,833,117000
RL,Timber,88.0,12665,8,5,2005,2006,2482,2,4,Gd,3,642,1,1094,281213
RL,NridgHt,80.0,10240,8,5,2005,2005,2098,2,3,Ex,3,878,1,1030,275500
RL,Sawyer,65.0,7800,5,7,1967,2004,899,1,3,Gd,1,288,0,864,130000
RL,NridgHt,85.0,11924,9,5,2005,2006,2324,3,4,Ex,3,736,2,1175,345000
RL,CollgCr,60.0,7200,5,5,1972,1972,894,1,2,TA,2,600,0,894,123000
RL,SawyerW,50.0,8012,6,5,1992,1992,1575,2,2,Gd,2,529,0,1575,179200
RM,CollgCr,,4426,6,5,2004,2004,848,1,1,Gd,2,420,1,848,141000
RM,OldTown,65.0,8850,7,6,1916,1950,1690,1,3,TA,1,225,1,815,144000
RM,MeadowV,41.0,2665,5,6,1977,1977,1475,2,4,TA,1,336,1,757,127000
RL,NridgHt,61.0,7577,6,5,2005,2006,1362,2,2,Gd,2,460,1,1362,194700
RL,Blmngtn,,3196,8,5,2003,2003,1456,2,2,Gd,2,400,1,1273,215000
RL,Gilbert,134.0,19378,7,5,2005,2006,2462,2,4,Gd,2,576,1,1392,320000
RL,NAmes,71.0,7056,6,5,1963,1963,1796,1,4,TA,2,483,1,780,140000
RM,OldTown,60.0,9600,5,8,1925,1994,1472,1,3,Gd,1,250,0,702,125000
RL,CollgCr,68.0,8814,7,5,2006,2006,1604,2,3,Gd,2,660,1,1604,220000
RL,Timber,,164660,5,6,1965,1965,1786,2,3,TA,2,529,2,1499,228950
RL,NAmes,80.0,9600,6,6,1955,1996,1661,1,3,Gd,1,377,1,992,165500
RM,MeadowV,21.0,1477,4,4,1970,1970,630,1,1,TA,1,286,0,630,80000
RL,NridgHt,94.0,12220,10,5,2009,2009,2020,2,3,Ex,3,900,1,2006,402861
RL,NWAmes,70.0,8400,8,6,2001,2001,1665,2,3,Gd,2,528,0,810,227000
RL,CollgCr,70.0,9100,7,5,2004,2005,1836,2,3,Gd,2,484,1,1860,216837
RM,OldTown,60.0,6600,5,4,1892,1965,2372,2,4,TA,1,432,0,994,107500
RM,BrkSide,60.0,6911,5,5,1924,1950,1301,1,2,Fa,2,440,0,1145,100000
RL,CollgCr,74.0,8556,7,5,2006,2006,1240,2,2,Gd,3,826,0,1240,194000
RL,NAmes,90.0,11988,6,6,1957,1957,1244,1,3,TA,1,336,2,1244,150000
RL,CollgCr,75.0,9742,8,5,2002,2002,1795,2,3,Gd,2,534,1,1777,230000
RL,Gilbert,,9248,6,6,1992,1992,1167,2,3,Gd,2,400,0,1158,173000
RL,Somerst,78.0,9262,8,5,2008,2009,1578,2,3,Ex,3,840,1,1573,287090
RL,Timber,85.0,14191,8,5,2002,2002,1908,2,4,Gd,2,431,0,967,202900
RM,OldTown,60.0,5586,6,7,1920,1998,1198,1,4,TA,0,0,0,901,79900
RL,NridgHt,110.0,14977,8,5,2006,2007,1976,2,2,Gd,3,908,1,1976,440000
RM,OldTown,57.0,9906,4,4,1925,1950,1328,1,3,TA,1,210,0,686,107000
RL,CollgCr,,9286,5,7,1977,1989,1268,1,3,Gd,1,252,0,1268,143500
FV,Somerst,35.0,4017,7,5,2006,2007,1250,2,2,Gd,2,625,0,625,171900
RL,Edwards,75.0,9825,5,5,1965,1965,1664,2,4,TA,0,0,0,0,100000
RL,NWAmes,90.0,11700,6,6,1968,1968,1416,2,3,TA,2,776,1,708,179900
C (all),OldTown,60.0,7200,6,6,1910,1998,2291,2,4,TA,2,506,1,1214,133900
RL,Mitchel,43.0,12118,7,5,2004,2005,1710,2,3,Gd,2,550,1,1710,240000
RM,BrkSide,50.0,6000,5,7,1921,1950,616,1,2,TA,1,205,0,616,89000
RL,NAmes,,10659,5,6,1961,1961,1050,1,3,TA,1,368,0,1050,136500
RL,ClearCr,,13500,6,7,1960,1975,1252,1,1,TA,2,564,1,1602,235000
RL,CollgCr,60.0,8072,5,5,1994,1995,990,1,3,TA,2,480,0,990,138000
RL,NAmes,68.0,9717,5,6,1950,1996,1078,1,2,Gd,1,240,0,1078,142125
RL,ClearCr,,12205,6,8,1966,2007,2087,2,5,Gd,2,444,0,832,187500
RL,NAmes,,14585,6,6,1960,1987,1429,1,3,Gd,2,572,2,1144,181900
RM,OldTown,76.0,7630,5,9,1900,1996,1812,2,4,Gd,2,672,1,360,140000
RL,NAmes,65.0,10482,6,8,1958,1958,1138,1,3,TA,1,264,0,588,145000
RL,NWAmes,70.0,12243,5,6,1971,1971,1484,2,3,TA,2,487,1,1484,175000
RL,Blmngtn,,3196,7,5,2003,2004,1557,2,2,Gd,2,420,1,1374,234000
RM,IDOTRR,40.0,4800,4,7,1916,1990,1196,1,2,TA,2,440,0,1196,109900
RL,NAmes,70.0,9100,5,5,1958,1958,864,1,3,TA,2,624,0,864,129900
RL,NAmes,80.0,9250,5,7,1954,2005,1056,1,3,TA,1,260,0,1056,139400
RL,NoRidge,92.0,10120,8,5,1994,1994,2526,2,4,Gd,3,844,1,1165,290000
RL,Blmngtn,43.0,3182,7,5,2005,2006,1145,2,2,Gd,2,397,1,1145,160200
RL,Sawyer,,11616,5,5,1962,1962,1092,1,3,TA,1,288,1,1092,139000
RM,OldTown,60.0,9600,5,7,1910,2002,1432,2,2,TA,2,360,0,264,132000
RL,NAmes,80.0,11900,6,5,1957,1957,1392,1,3,TA,2,458,2,1392,166000
RL,CollgCr,65.0,8461,6,5,2005,2006,1456,2,3,Gd,2,390,1,728,163990
RL,NAmes,72.0,10007,5,7,1959,2006,1053,1,3,Gd,1,312,0,1053,145500
RH,SWISU,60.0,10896,6,7,1914,1995,3395,2,8,Fa,0,0,0,1440,200000
RL,NAmes,,9830,5,7,1959,2006,1287,1,3,Gd,2,576,1,1063,162000
RM,IDOTRR,71.0,6900,5,6,1940,1955,778,1,2,TA,1,924,1,740,120500
RM,BrDale,21.0,1680,6,5,1971,1971,1092,1,3,TA,1,264,0,525,88000
RL,BrkSide,52.0,5825,4,5,1926,1953,747,1,1,TA,2,528,0,600,79900
RL,Gilbert,,12394,7,5,2003,2003,1733,2,3,Gd,2,433,1,847,225000
RL,Timber,67.0,10656,8,5,2006,2007,1646,2,3,Gd,3,870,1,1638,248900
RL,Mitchel,48.0,12822,7,5,2003,2003,2149,1,1,Gd,2,670,1,1434,239686
RL,ClearCr,,36500,5,5,1964,1964,1582,2,4,TA,2,390,0,1624,190000
RM,OldTown,121.0,17671,8,9,1882,1986,1742,1,4,Gd,2,424,1,916,168000
RL,Mitchel,94.0,25286,4,5,1963,1963,1040,1,3,TA,2,648,0,1064,132250
RL,NAmes,70.0,10150,5,5,1958,1958,912,1,2,TA,1,275,0,912,114500
RL,NoRidge,84.0,14260,8,5,2000,2000,2198,2,4,Gd,3,836,1,1145,250000
RL,NWAmes,,11500,5,6,1976,1976,1680,2,4,TA,2,528,0,1680,136905
RL,Crawfor,,14100,8,9,1935,1997,3447,3,4,Gd,3,1014,2,728,381000
RM,OldTown,50.0,5500,5,7,1929,2001,1316,1,3,TA,2,484,0,926,130000
RL,SWISU,51.0,9842,5,6,1921,1998,2601,3,4,TA,2,621,0,612,189000
RM,BrDale,24.0,2368,5,6,1970,1970,1365,1,3,TA,2,440,0,765,125000
RL,Blmngtn,53.0,3922,7,5,2006,2007,1258,2,2,Gd,3,648,1,1258,172500
RL,Somerst,75.0,11957,8,5,2006,2006,1574,2,3,Gd,3,824,1,1574,232000
RL,NAmes,,15870,5,5,1969,1969,1096,1,3,TA,1,299,0,1096,138800
RM,BrDale,21.0,1680,6,5,1973,1973,987,1,2,TA,1,264,0,483,100000
RM,Edwards,32.0,3363,7,5,2004,2004,1708,2,3,Gd,2,380,0,976,130000
RM,OldTown,87.0,18386,7,9,1880,2002,3493,3,3,Gd,3,870,1,1470,295000
RL,Gilbert,152.0,12134,8,7,1988,2005,1752,2,4,TA,2,492,0,559,164000
RL,Timber,150.0,215245,7,5,1965,1965,2036,2,3,TA,2,513,2,2136,375000
RM,BrkSide,,6240,5,4,1936,1950,1344,1,3,TA,1,240,0,896,115000
RL,NAmes,70.0,10500,5,7,1971,2005,1109,1,3,TA,1,288,0,372,139000
RL,Gilbert,,13869,6,6,1997,1997,1470,2,3,TA,2,388,0,794,177000
RL,NAmes,60.0,7350,5,7,1951,1951,952,1,2,TA,2,840,0,952,139000
RL,Crawfor,,21695,6,9,1988,2007,1680,2,3,Gd,2,540,1,880,222000
RL,NAmes,100.0,10004,6,6,1964,1964,1516,1,3,TA,2,472,0,1516,167000
RL,NridgHt,93.0,12085,8,5,2007,2007,1734,2,3,Ex,3,928,1,1734,318000
RL,StoneBr,,6820,8,5,1985,1985,1502,1,1,Gd,2,528,0,1488,212000
RL,NridgHt,36.0,2268,7,5,2003,2004,1626,2,2,Gd,2,474,0,764,173000
RM,IDOTRR,60.0,10320,6,7,1906,1995,1469,1,3,TA,1,216,0,756,135000
FV,Somerst,65.0,8125,7,5,2006,2007,1550,2,2,Gd,2,438,0,1092,241000
RL,NridgHt,40.0,6792,7,5,2005,2006,1368,2,2,Gd,2,474,1,1368,202665
RL,NridgHt,111.0,16259,9,5,2006,2006,2596,3,4,Gd,3,840,0,1249,342643
RL,NAmes,70.0,7560,5,6,1958,1965,1339,1,3,TA,1,294,0,1029,139000
RL,NoRidge,58.0,16770,7,5,1998,1998,1839,2,4,TA,2,486,0,1195,221000
RL,NridgHt,108.0,13418,8,5,2004,2005,2452,3,4,Gd,3,691,1,1117,309000
RL,Gilbert,63.0,7875,7,5,2003,2003,1509,2,3,Gd,2,393,1,783,180000
RL,SawyerW,65.0,8529,7,5,2001,2001,1434,2,3,Gd,2,527,1,1454,189000
RL,SawyerW,,7153,6,5,1991,1991,1294,2,3,Gd,2,496,0,1278,179200
RL,Crawfor,63.0,15576,6,7,1915,1976,1680,2,4,TA,1,308,0,840,177000
RL,SawyerW,70.0,8462,6,5,1994,1994,1721,2,3,Gd,2,471,0,928,201000
RL,NAmes,,12735,4,5,1972,1972,864,1,3,TA,2,576,0,864,111250
FV,Somerst,24.0,2280,7,5,1999,1999,1501,2,3,TA,2,440,0,744,179400
RM,OldTown,85.0,13600,5,5,1900,1950,2337,2,5,TA,2,560,0,662,90000
RL,NWAmes,80.0,10400,7,5,1988,1988,1872,2,3,TA,2,604,1,1845,241500
RL,Gilbert,182.0,14572,7,5,2004,2004,1530,2,3,Gd,3,630,1,1530,259000
RM,OldTown,35.0,6300,6,6,1914,2001,1484,2,3,TA,0,0,1,742,128000
RM,MeadowV,21.0,1526,4,8,1970,2002,630,1,1,Gd,1,286,0,630,86000
RM,OldTown,84.0,11340,6,5,1923,1950,1200,1,4,TA,1,312,0,1200,125000
RL,NWAmes,,12227,6,7,1977,1995,2872,2,4,TA,2,619,1,1330,272000
RL,NAmes,,12095,6,6,1964,1964,1445,1,3,TA,2,645,1,1127,158000
RL,NAmes,87.0,10000,6,6,1962,1962,1116,1,3,TA,2,440,0,1116,160000
RL,StoneBr,,5062,7,5,1984,1984,2090,2,3,Gd,2,577,1,1190,207500
RL,NAmes,,7032,5,5,1979,1979,943,1,2,TA,2,600,2,943,135960
RL,SWISU,51.0,6171,6,6,1925,1990,1608,2,3,Gd,1,216,1,976,137450
RL,Sawyer,72.0,10791,4,5,1967,1967,1296,2,2,TA,2,516,0,0,90000
RM,OldTown,55.0,4388,5,7,1930,1950,840,1,3,TA,0,0,1,672,87000
RL,NWAmes,,9900,7,5,1968,1968,1978,2,4,TA,2,486,1,832,176000
RL,NAmes,,12122,7,9,1961,2007,999,1,3,Ex,2,588,0,944,178400
RL,NPkVill,,4928,6,6,1976,1976,958,2,2,TA,2,440,0,958,143750
RL,Crawfor,70.0,10570,8,8,1932,1994,2727,2,3,Gd,2,440,2,853,315000
RL,BrkSide,98.0,8731,5,5,1920,1950,1167,1,3,TA,2,495,1,915,144000
RL,NAmes,80.0,9760,6,8,1964,1993,1851,2,3,Gd,2,440,1,822,187000
RL,NAmes,80.0,10721,6,6,1959,1959,1252,1,3,Gd,2,528,0,1252,142000
RM,BrkSide,52.0,6240,4,5,1947,1950,912,1,2,TA,0,0,0,0,80500
RL,CollgCr,82.0,12464,5,5,1996,1996,1040,1,3,Gd,2,576,0,1040,152000
FV,Somerst,,2117,6,5,2000,2000,1525,2,3,Gd,2,440,1,756,177000
RL,CollgCr,66.0,16226,8,5,1998,1999,2452,2,4,Gd,2,683,1,1028,267000
RL,NoRidge,,12692,8,5,1992,1993,3228,3,4,Gd,2,546,1,3200,430000
RL,Gilbert,59.0,9587,7,5,2005,2005,1166,2,2,Gd,2,400,0,856,190000
RL,NAmes,78.0,10496,6,6,1949,1950,1846,2,3,TA,1,315,1,1040,143000
RL,NWAmes,78.0,10140,5,6,1975,1975,1074,1,3,TA,2,495,0,1056,153500
RL,NoRidge,79.0,10208,7,5,1996,1997,2344,2,3,Gd,3,889,1,1264,265000
RL,NAmes,60.0,9600,5,7,1949,2003,893,1,2,Gd,2,576,0,845,135000
RL,CollgCr,75.0,13125,6,5,1997,1998,1493,2,3,Gd,2,508,1,1478,208900
RL,Timber,92.0,12003,8,5,2009,2010,1968,2,4,Ex,3,680,1,774,269500
RL,NAmes,,11241,6,7,1970,1970,1004,1,2,TA,2,480,1,1004,149000
RL,Edwards,50.0,7585,5,3,1948,1950,1456,1,4,TA,1,280,1,810,91500
RL,BrkSide,70.0,8737,6,7,1923,1950,1635,1,3,TA,2,440,1,1065,210000
RL,NAmes,78.0,17503,6,5,1948,1950,1458,1,3,TA,1,330,1,912,97500
RM,Mitchel,,4500,6,5,1999,1999,1224,2,2,TA,2,402,0,1224,165000
RL,Blmngtn,43.0,3013,7,5,2005,2005,1506,2,2,Gd,2,440,1,1362,213490
RL,NAmes,89.0,10680,5,3,1951,1951,2136,2,4,TA,2,528,0,2136,137900
FV,Somerst,24.0,2572,7,5,1999,1999,1416,2,3,Gd,2,484,0,696,155000
RL,NoRidge,,11400,10,5,2001,2002,2633,2,2,Ex,3,804,2,2633,466500
